Empresa,Año,Mes,T2M,WS10M,CLOUD_AMT,RH2M,T2M_MAX,T2M_MIN,CLOUD_OD,GWETROOT,TS,PRECTOTCORR,ALLSKY_SFC_SW_DWN,PS,T2MWET,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_LW_DWN
COOPESANTOS,2023,11,21.77,0.91,76.89,90.91,26.42,18.49,5.93,0.99,22.13,9.78,4.13675,89.96,20.91,1.8992499999999999,9.8076
COOPESANTOS,2023,12,21.92,1.06,55.845,85.7,26.68,17.46,5.505,0.92,22.08,4.1,4.720700000000001,90.02,20.56,1.59395,9.6463
COOPESANTOS,2024,1,21.97,1.17,38.97,82.08,26.96,17.53,5.08,0.8,22.16,0.93,5.36725,90.1,20.25,1.52675,9.52045
COOPESANTOS,2024,2,22.12,1.3,42.255,78.08,29.02,15.97,5.355,0.69,22.42,3.45,5.75195,90.11,19.88,1.65575,9.4795
COOPESANTOS,2024,3,23.22,1.03,51.16,76.49,30.54,15.44,5.225,0.66,23.45,2.84,5.8608,90.08,20.72,2.1025,9.65505
COOPESANTOS,2024,4,22.79,1.12,69.33,78.99,29.4,16.75,5.13,0.68,23.05,7.52,5.45625,90.08,20.6,2.20305,9.7276
COOPESANTOS,2024,5,22.96,0.87,77.51,87.97,28.64,19.64,6.1850000000000005,0.76,23.32,13.76,4.9139,90.02,21.75,2.3568,9.9396
COOPESANTOS,2024,6,22.07,1.04,90.38499999999999,92.0,26.9,18.77,7.485,0.96,22.56,24.29,4.5056,90.09,21.31,2.4373500000000003,9.8562
COOPESANTOS,2024,7,22.05,0.87,90.265,90.6,26.61,18.12,7.32,1.0,22.36,17.56,4.4056999999999995,90.09,21.14,2.4907500000000002,9.8478
COOPESANTOS,2024,8,21.99,0.8,85.58500000000001,88.49,27.17,18.97,6.295,0.98,22.3,8.39,4.578749999999999,90.16,20.86,2.48135,9.779399999999999
COOPESANTOS,2024,9,22.05,0.92,88.43,90.12,27.01,18.93,8.1,0.98,22.5,12.13,4.19065,90.02,21.08,2.3449,9.8296
COOPESANTOS,2024,10,21.64,0.99,84.39500000000001,91.42,26.48,18.5,6.045,0.99,22.06,13.6,4.45465,90.07,20.82,2.2186500000000002,9.785900000000002
COOPESANTOS,2024,11,20.94,1.02,87.845,93.19,25.33,17.98,9.075,1.0,21.46,21.93,3.41685,90.03,20.29,1.8553000000000002,9.7776
COOPESANTOS,2024,12,21.07,1.0,70.145,87.58,25.79,17.09,6.715,0.97,21.2,7.86,3.9425,90.07,19.89,1.686,9.6282
COOPESANTOS,2025,1,20.97,0.99,59.595,84.88,25.23,16.9,5.015,0.92,21.12,3.64,4.76565,90.13,19.55,1.8015500000000002,9.477
COOPESANTOS,2025,2,21.27,1.12,63.540000000000006,81.77,26.57,17.43,5.04,0.82,21.49,2.15,5.182650000000001,90.08,19.51,2.0484999999999998,9.5251
COOPESANTOS,2025,3,22.1,1.06,61.125,79.12,28.61,16.83,4.71,0.72,22.42,3.42,5.6614,90.12,19.97,2.1146000000000003,9.56015
COOPESANTOS,2025,4,22.21,1.0,77.625,81.47,28.22,18.26,5.9399999999999995,0.74,22.56,9.02,5.1996,90.08,20.37,2.403,9.77795
COOPESANTOS,2025,5,22.23,0.77,82.96000000000001,90.11,27.17,18.17,7.720000000000001,0.89,22.7,16.9,4.88315,90.07,21.27,2.35125,9.8582
